path,lines,limit,kind
apps/desktop/src-tauri/src/commands/analysis_commands.rs,590,500,production
apps/desktop/src-tauri/src/commands/case_commands.rs,817,500,production
apps/desktop/src-tauri/src/commands/file_commands.rs,1230,500,production
apps/desktop/src-tauri/src/commands/mcp_commands.rs,686,500,production
apps/desktop/src-tauri/src/lib.rs,288,200,module-root
apps/desktop/src-tauri/src/media_protocol.rs,741,500,production
crates/app-services/src/analysis_service/candidates.rs,964,500,production
crates/app-services/src/analysis_service/extraction/browser.rs,522,500,production
crates/app-services/src/analysis_service/extraction/email/tests.rs,955,500,production
crates/app-services/src/analysis_service/extraction/linux.rs,1988,500,production
crates/app-services/src/analysis_service/extraction/registry/mod.rs,644,200,module-root
crates/app-services/src/analysis_service/tests.rs,1527,500,production
crates/app-services/src/artifact_service.rs,963,500,production
crates/app-services/src/cluster_service.rs,524,500,production
crates/app-services/src/correlation/graph.rs,1671,500,production
crates/app-services/src/correlation/mod.rs,211,200,module-root
crates/app-services/src/correlation/rules.rs,516,500,production
crates/app-services/src/correlation/tests.rs,1012,500,production
crates/app-services/src/datasource_service.rs,517,500,production
crates/app-services/src/datasource_service/lvm.rs,862,500,production
crates/app-services/src/entity_extraction.rs,859,500,production
crates/app-services/src/entity_resolution/cross_case.rs,580,500,production
crates/app-services/src/entity_resolution/merge.rs,576,500,production
crates/app-services/src/entity_resolution/relationships.rs,999,500,production
crates/app-services/src/file_service/mft.rs,945,500,production
crates/app-services/src/file_service/mod.rs,928,200,module-root
crates/app-services/src/file_service/viewer/image_open.rs,872,500,production
crates/app-services/src/file_service/viewer/mod.rs,433,200,module-root
crates/app-services/src/file_service/viewer/range.rs,511,500,production
crates/app-services/src/file_service/viewer/range_fs.rs,748,500,production
crates/app-services/src/file_service/viewer/tests.rs,1493,500,production
crates/app-services/src/governance/scoring.rs,802,500,production
crates/app-services/src/graph_service.rs,983,500,production
crates/app-services/src/import_analysis/mod.rs,1067,200,module-root
crates/app-services/src/import_analysis/worker_runtime.rs,589,500,production
crates/app-services/src/import_pipeline/execute.rs,759,500,production
crates/app-services/src/import_pipeline/partition.rs,649,500,production
crates/app-services/src/import_pipeline/phases.rs,1064,500,production
crates/app-services/src/import_pipeline/tests.rs,1188,500,production
crates/app-services/src/import_precheck.rs,515,500,production
crates/app-services/src/notebook_service/mod.rs,689,200,module-root
crates/app-services/src/parallel_enum/mod.rs,1025,200,module-root
crates/app-services/src/parallel_enum/ntfs_mft.rs,1211,500,production
crates/app-services/src/report/html.rs,521,500,production
crates/app-services/src/report/json.rs,598,500,production
crates/app-services/src/report/mod.rs,579,200,module-root
crates/app-services/src/report/tests.rs,820,500,production
crates/app-services/src/rule_pack/engine.rs,996,500,production
crates/app-services/src/rule_pack/parser.rs,596,500,production
crates/app-services/src/search_service.rs,542,500,production
crates/app-services/src/staging/mod.rs,1345,200,module-root
crates/app-services/src/timeline_service.rs,1351,500,production
crates/app-services/src/v3_governance_service.rs,623,500,production
crates/artifacts-core/src/lib.rs,415,200,module-root
crates/artifacts-linux/src/journal.rs,1024,500,production
crates/artifacts-linux/src/web.rs,577,500,production
crates/artifacts-macos/src/plist.rs,628,500,production
